1,2478
25,2071
50,1874
74,1775
98,1786
126,1747
150,1748
174,1550
198,1393
222,1325
247,1574
271,1663
295,1686
319,1687
343,1700
368,1714
392,1551
416,1662
440,1702
465,1747
489,1733
513,1726
537,1475
563,1638
587,1706
612,1727
636,1717
660,1728
684,1565
708,1664
733,1723
757,1701
781,1722
805,1735
829,1476
854,1433
878,1339
902,1578
926,1490
950,1618
975,1663
999,1714
1023,1719
1047,1736
1071,1733
1096,1722
1120,1540
1144,1653
1168,1695
1193,1691
1217,1722
1241,1707
1265,1740
1289,1718
1314,1742
1338,1734
1362,1483
1386,1630
1410,1675
1435,1723
1459,1719
1483,1707
1507,1720
1531,1744
1556,1741
1580,1752
1604,1749
1628,1744
1652,1712
1677,1723
1701,1732
1725,1727
1749,1742
1773,1537
1798,1394
1822,1422
1846,1607
1870,1681
1895,1693
1919,1717
1943,1729
1967,1711
1991,1726
2016,1719
2040,1719
2064,1707
2088,1700
2116,1726
2140,1740
2165,1735
2189,1736
2213,1742
2237,1753
2261,1728
2286,1737
2310,1742
2334,1555
2358,1647
2382,1674
2407,1545
2431,1635
2455,1430
2479,1431
2504,1596
2528,1669
2552,1713
2576,1726
2600,1471
2625,1622
2649,1688
2673,1276
2697,1555
2721,1662
2746,1515
2770,1654
2794,1712
2818,1728
2842,1722
2867,1709
2891,1729
2915,1702
2939,1712
2963,1698
2988,1716
3012,1723
3036,1743
3060,1723
3085,1724
3109,1716
3137,1730
3161,1714
3185,1733
3209,1725
3233,1737
3258,1730
3282,1728
3306,1716
3330,1734
3355,1714
3379,1553
3403,1662
3427,1690
3451,1699
3476,1717
3500,1724
3524,1719
3548,1729
3572,1706
3597,1292
3621,1358
3645,1594
3669,1648
3693,1527
3718,1636
3742,1514
3766,1648
3790,1687
3814,1709
3839,1714
3863,1285
3887,1542
3911,1670
3935,1719
3960,1718
3984,1717
4008,1731
4032,1720
4057,1716
4081,1465
4105,1617
4129,1430
4153,1599
4177,1678
4202,1712
4226,1709
4250,1717
4274,1714
4299,1718
4323,1718
4347,1559
4371,1658
4395,1505
4420,1627
4444,1693
4468,1709
4492,1704
4516,1546
4542,1663
4567,1702
4591,1732
4615,1713
4639,1726
